ID1,Id2,Id2,ID3,Age,kg,kg,cm,DOB,Study,Grade
2027,71,71,1176,48,61,61,168,7/16/1996,Bachelor,D-
3789,4664,4664,4674,22,88,88,178,12/18/1994,Bachelor,F+
3718,3483,3483,1287,35,56,56,165,7/15/1998,Master,D-
2422,2863,2863,2262,26,81,81,183,1/28/1997,Doctorate,A-
3974,3673,3673,4184,22,75,75,156,8/29/1986,Doctorate,D+
456,1917,1917,2658,30,98,98,177,12/23/1997,Bachelor,D+
2543,2097,2097,3779,28,59,59,161,12/11/1993,Master,B+
4484,4564,4564,696,28,82,82,158,9/28/1991,Bachelor,B+
1076,4784,4784,161,26,87,87,174,11/20/1995,Ph.D.,C-
2147,796,796,4364,49,87,87,152,9/6/1997,Ph.D.,B-
236,3563,3563,3914,41,73,73,195,3/24/1992,Ph.D.,F+
131,4734,4734,3128,52,105,105,158,8/16/1991,Master,B-
3508,4679,4679,2097,30,62,62,191,1/22/1990,Bachelor,A-
3073,3954,3954,1952,56,95,95,163,5/4/1991,Master,B-
3298,661,661,4679,52,74,74,169,5/30/1996,Bachelor,D-
4154,3844,3844,3588,30,90,90,158,4/5/1988,Ph.D.,A-
2002,4629,4629,4429,47,60,60,199,2/10/1995,Ph.D.,D+
1116,4074,4074,356,39,87,87,198,2/19/1996,Ph.D.,C-
2357,641,641,1001,44,57,57,161,8/7/1990,Ph.D.,A-
4164,2633,2633,1647,44,100,100,196,7/31/1991,Ph.D.,F+
3924,3248,3248,3919,33,99,99,171,5/22/1992,Ph.D.,B+
4109,1482,1482,411,32,79,79,187,5/11/1988,Master,F+
876,226,226,3568,23,95,95,197,1/19/1988,Doctorate,B+
221,3558,3558,4909,37,86,86,199,2/6/1987,Master,A-
3523,2738,2738,3628,56,73,73,152,11/8/1992,Ph.D.,A-
2227,1752,1752,3693,43,51,51,187,2/8/1987,Bachelor,A-
3984,4549,4549,2723,41,89,89,161,6/8/1996,Bachelor,A+
766,2082,2082,3153,45,68,68,186,12/2/1998,Doctorate,D-
126,1252,1252,2938,45,70,70,168,7/19/1989,Doctorate,D+
2843,4239,4239,1822,30,94,94,195,4/25/1987,Bachelor,B+
4559,3188,3188,96,48,60,60,199,5/29/1996,Bachelor,B-
3123,3909,3909,1241,53,85,85,158,9/24/1993,Doctorate,C-
3658,4769,4769,1627,59,69,69,181,11/15/1989,Doctorate,C+
1302,2147,2147,996,48,70,70,150,4/27/1997,Ph.D.,C+
2497,1412,1412,2427,29,94,94,170,10/25/1991,Master,D-
3003,4089,4089,711,44,80,80,153,2/13/1990,Master,D+
1882,4979,4979,3413,54,100,100,183,6/10/1998,Ph.D.,B-
966,3849,3849,2452,22,100,100,153,4/14/1986,Doctorate,B+
2898,3688,3688,551,48,91,91,168,4/10/1997,Ph.D.,D+
2893,4964,4964,121,29,63,63,199,9/1/1993,Ph.D.,D-
4729,3648,3648,271,22,62,62,199,8/25/1990,Bachelor,B+
4104,541,541,4084,55,105,105,184,10/28/1998,Bachelor,A+
4624,316,316,2362,28,85,85,194,5/2/1993,Bachelor,C+
4634,106,106,2227,41,68,68,157,11/4/1998,Doctorate,C+
2282,2503,2503,1061,20,84,84,176,7/30/1991,Ph.D.,C+
1667,1907,1907,3799,47,106,106,199,11/28/1985,Ph.D.,C-
2798,3133,3133,3428,28,72,72,190,11/15/1987,Doctorate,B-
2067,4994,4994,3148,32,65,65,188,8/18/1988,Doctorate,A+
3453,3008,3008,4244,58,74,74,191,12/20/1993,Master,B-
4859,1677,1677,3248,21,70,70,160,10/9/1996,Ph.D.,D-
246,366,366,3738,26,88,88,156,3/30/1994,Bachelor,B+
4149,581,581,3113,32,107,107,178,9/4/1989,Ph.D.,D-
2162,3924,3924,1302,40,62,62,166,10/12/1991,Bachelor,A+
2668,531,531,1196,50,68,68,171,12/17/1995,Bachelor,A-
4344,1021,1021,56,32,82,82,190,1/4/1992,Ph.D.,D-
4414,1827,1827,2918,27,81,81,169,10/17/1994,Doctorate,D+
4849,4164,4164,541,46,105,105,190,2/6/1989,Master,B-
4384,1257,1257,1942,41,105,105,175,5/5/1987,Master,D+
1046,4854,4854,4449,28,64,64,172,9/15/1989,Bachelor,B-
3188,481,481,3538,29,62,62,151,4/23/1997,Master,D-
2703,2002,2002,151,57,89,89,178,2/17/1987,Ph.D.,A+
4189,1717,1717,3408,43,109,109,169,12/21/1992,Ph.D.,C-
3613,2703,2703,4344,40,79,79,199,7/1/1988,Master,A+
2177,771,771,3198,24,55,55,188,10/7/1989,Doctorate,B+
2933,4064,4064,1447,27,61,61,171,1/5/1986,Ph.D.,B-
896,786,786,1902,55,95,95,175,4/5/1993,Ph.D.,B+
4279,4749,4749,2352,33,103,103,184,1/8/1988,Doctorate,A+
3698,3258,3258,651,21,108,108,196,12/13/1992,Bachelor,F+
1437,696,696,2968,44,54,54,150,5/31/1986,Doctorate,C-
3738,3794,3794,216,25,69,69,194,8/22/1991,Master,C+
1081,1477,1477,1572,35,73,73,194,11/8/1993,Ph.D.,B+
46,4079,4079,916,38,50,50,186,11/24/1985,Bachelor,B+
4259,1226,1226,51,27,81,81,190,7/20/1987,Ph.D.,A-
2372,3078,3078,4224,42,64,64,175,8/17/1985,Bachelor,A-
4134,206,206,3904,20,50,50,199,3/5/1989,Ph.D.,F-
2503,2578,2578,2297,35,83,83,193,4/28/1994,Bachelor,B-
3533,3318,3318,3759,32,63,63,155,4/3/1992,Master,B-
4814,4904,4904,3493,25,97,97,164,1/27/1992,Bachelor,D+
1692,2848,2848,1437,32,91,91,160,2/18/1991,Ph.D.,C+
3563,2793,2793,4099,52,92,92,194,12/4/1995,Bachelor,F-
4119,3123,3123,4044,51,88,88,198,6/26/1991,Doctorate,A-
71,516,516,3078,34,109,109,167,4/6/1991,Bachelor,C+
2477,2753,2753,2152,44,102,102,162,8/5/1993,Master,D-
1682,596,596,1907,34,55,55,185,3/22/1988,Master,F-
2753,136,136,621,39,94,94,197,1/26/1992,Doctorate,A-
1772,2262,2262,3543,28,77,77,162,2/17/1996,Master,C-
721,2367,2367,1967,42,86,86,153,8/13/1997,Master,D+
3999,3513,3513,4659,38,106,106,176,12/9/1989,Master,B+
171,4744,4744,2247,52,61,61,181,1/13/1985,Doctorate,F-
2633,3718,3718,2798,42,104,104,175,6/22/1998,Bachelor,D-
3318,4764,4764,2853,59,63,63,196,5/13/1993,Ph.D.,C-
2603,3068,3068,686,52,101,101,151,10/3/1986,Master,B-
4994,1982,1982,2513,31,56,56,179,2/27/1989,Bachelor,F+
816,4824,4824,1742,27,108,108,186,5/20/1995,Ph.D.,A-
3438,1347,1347,971,52,53,53,162,7/21/1993,Master,F-
3263,2357,2357,3643,43,102,102,158,12/18/1990,Bachelor,F+
2377,1942,1942,2212,59,96,96,193,1/24/1996,Master,A+
566,3083,3083,1777,37,50,50,198,2/11/1985,Ph.D.,D+
4584,4419,4419,3313,36,75,75,186,5/8/1994,Ph.D.,D+
431,3698,3698,251,39,102,102,177,4/11/1988,Bachelor,C-
4804,406,406,1116,39,77,77,176,7/4/1990,Doctorate,F-
3213,3683,3683,4879,22,104,104,156,5/17/1986,Master,C+
1672,4304,4304,3333,36,102,102,164,6/7/1995,Master,F-
2072,4804,4804,726,52,53,53,155,4/28/1991,Ph.D.,A+
511,3613,3613,3774,59,103,103,158,3/9/1997,Bachelor,A-
3118,1767,1767,1637,59,88,88,163,12/4/1985,Master,F-
1762,3448,3448,4789,24,99,99,197,11/10/1992,Master,D+
2828,3183,3183,4444,22,58,58,199,9/13/1990,Ph.D.,A-
3198,711,711,3934,44,53,53,170,3/27/1998,Master,B+
3168,3528,3528,3578,22,63,63,182,11/16/1988,Doctorate,F+
4144,1812,1812,3703,37,58,58,157,8/17/1989,Bachelor,C-
1557,371,371,3488,58,98,98,170,1/26/1985,Ph.D.,A-
136,4534,4534,2903,36,58,58,159,10/25/1998,Doctorate,A-
2873,3899,3899,2487,57,52,52,172,8/31/1990,Master,C-
1967,121,121,4289,47,60,60,195,1/30/1990,Master,C-
461,376,376,2593,31,52,52,181,1/26/1987,Bachelor,D-
4074,2312,2312,3508,55,95,95,185,4/28/1993,Master,D-
3854,1487,1487,3959,33,83,83,163,1/11/1993,Bachelor,A+
2012,196,196,2863,45,82,82,172,3/16/1985,Bachelor,D-
1517,4849,4849,841,48,96,96,181,11/26/1992,Master,D-
4389,2252,2252,3989,23,101,101,173,7/17/1988,Ph.D.,A-
3869,3743,3743,3053,25,103,103,153,11/25/1992,Doctorate,A-
2387,4269,4269,4459,53,100,100,177,8/9/1995,Master,C-
1262,1667,1667,1587,57,90,90,158,8/14/1998,Doctorate,C+
571,2598,2598,26,26,99,99,156,11/28/1989,Master,B+
2057,1597,1597,4989,36,87,87,156,8/23/1995,Doctorate,C-
1056,101,101,3178,48,68,68,180,3/31/1995,Doctorate,F+
4959,3904,3904,1657,35,91,91,182,8/18/1992,Master,C+
3904,4124,4124,1597,24,72,72,185,12/24/1990,Bachelor,B+
661,2523,2523,1442,57,101,101,154,9/10/1989,Ph.D.,F+
1832,4779,4779,3038,25,100,100,154,12/17/1996,Ph.D.,F+
4039,4429,4429,1136,32,99,99,195,12/3/1996,Bachelor,B+
1131,2217,2217,1422,42,67,67,178,5/26/1997,Doctorate,B+
2312,501,501,1071,53,69,69,175,12/11/1986,Master,D-
4699,2683,2683,1387,53,66,66,168,11/26/1996,Doctorate,C-
3713,2187,2187,3533,38,65,65,151,12/22/1989,Master,F+
4094,2538,2538,896,28,88,88,159,6/13/1986,Ph.D.,F-
4854,3779,3779,426,52,61,61,164,8/11/1985,Ph.D.,D+
3784,1547,1547,2678,27,64,64,166,2/26/1989,Doctorate,B-
3373,4519,4519,2337,40,57,57,192,2/2/1996,Master,A-
3143,2583,2583,3884,30,51,51,150,5/27/1995,Doctorate,D-
2322,1101,1101,451,31,60,60,176,5/14/1994,Ph.D.,F+
3668,496,496,4554,20,80,80,177,5/10/1990,Master,A-
2688,1712,1712,871,44,82,82,165,4/26/1991,Doctorate,C-
601,2012,2012,3909,46,50,50,182,6/18/1987,Ph.D.,F+
2723,3168,3168,3733,23,50,50,160,11/24/1993,Bachelor,A+
1397,1342,1342,2883,44,58,58,197,8/20/1994,Bachelor,F-
4824,2568,2568,1166,55,86,86,154,4/7/1992,Ph.D.,F+
226,691,691,4369,35,102,102,183,1/21/1985,Bachelor,D+
4474,4844,4844,4939,45,81,81,176,8/9/1998,Master,F-
3043,4894,4894,1056,31,101,101,173,11/21/1988,Master,B+
1226,591,591,2432,55,55,55,155,2/3/1997,Ph.D.,A+
4224,1322,1322,4649,25,56,56,164,6/7/1994,Doctorate,B-
591,1156,1156,2372,48,66,66,168,3/2/1997,Doctorate,A+
1151,4154,4154,2958,46,98,98,161,7/28/1998,Ph.D.,B-
2432,4914,4914,746,27,75,75,154,7/23/1986,Master,F+
4519,3553,3553,2497,28,94,94,174,12/5/1997,Bachelor,C+
1507,2948,2948,2983,41,62,62,165,1/6/1998,Bachelor,C+
786,2022,2022,1332,38,56,56,190,9/27/1998,Bachelor,C+
2142,1932,1932,206,37,106,106,168,5/19/1996,Ph.D.,C-
76,2673,2673,386,54,68,68,155,4/11/1995,Doctorate,C+
2968,3623,3623,2217,52,50,50,150,2/22/1989,Bachelor,C+
3959,731,731,4979,45,59,59,164,12/5/1987,Master,A-
61,3989,3989,3258,56,74,74,166,9/10/1991,Master,B+
401,1026,1026,4774,45,67,67,186,10/8/1998,Ph.D.,D-
561,3228,3228,2673,41,83,83,189,2/9/1991,Master,C+
1902,3198,3198,291,40,60,60,175,6/26/1995,Ph.D.,A-
36,4924,4924,1617,37,94,94,197,10/26/1991,Doctorate,D-
836,3919,3919,486,21,107,107,194,6/2/1993,Ph.D.,D+
1417,2763,2763,4889,30,69,69,197,10/26/1987,Master,A-
2272,2257,2257,3723,43,73,73,198,5/12/1994,Doctorate,F-
831,2492,2492,446,28,78,78,168,3/11/1998,Doctorate,F-
2452,4619,4619,3558,42,108,108,152,11/30/1995,Master,F-
4219,3108,3108,4499,44,108,108,192,2/1/1994,Master,A-
2718,4709,4709,4004,59,87,87,183,6/29/1995,Doctorate,B-
2833,2432,2432,4699,32,76,76,184,8/25/1992,Doctorate,C-
4459,1056,1056,301,32,88,88,162,10/28/1988,Ph.D.,F+
2653,3799,3799,2332,44,56,56,171,11/17/1985,Bachelor,F+
4739,2282,2282,341,21,101,101,185,1/4/1985,Bachelor,F+
1342,4874,4874,1036,35,50,50,174,7/22/1994,Bachelor,B+
3313,2903,2903,4564,44,104,104,180,2/26/1988,Bachelor,D+
951,4819,4819,4519,31,80,80,182,3/29/1994,Doctorate,D+
971,656,656,571,26,58,58,189,10/31/1985,Bachelor,D+
4054,671,671,3303,55,89,89,167,8/18/1987,Doctorate,B-
1211,451,451,466,22,106,106,169,2/23/1990,Doctorate,D-
4524,4834,4834,261,55,104,104,152,11/28/1992,Master,B+
856,996,996,4804,29,54,54,183,11/23/1996,Master,A-
2462,4349,4349,1252,24,80,80,175,7/17/1996,Master,F+
1812,1327,1327,1226,26,100,100,183,7/6/1990,Ph.D.,A+
3568,4944,4944,2252,35,79,79,160,12/8/1992,Ph.D.,A-
4704,1832,1832,4329,41,54,54,166,5/23/1986,Bachelor,C-
4799,3638,3638,1697,33,80,80,190,6/12/1997,Master,F+
2382,4729,4729,36,24,76,76,180,3/6/1988,Ph.D.,D+
2863,1822,1822,1542,48,99,99,190,7/28/1990,Bachelor,D-
3323,3759,3759,2412,27,93,93,192,11/12/1989,Bachelor,C+
2077,3063,3063,4294,43,84,84,159,12/23/1996,Doctorate,B+
2538,2267,2267,1191,29,106,106,172,10/28/1996,Bachelor,F-
1061,3098,3098,246,39,87,87,169,4/29/1987,Doctorate,B+
1612,3028,3028,4639,27,95,95,199,1/21/1986,Bachelor,D-
4114,2202,2202,2067,41,60,60,182,4/21/1990,Ph.D.,D+
1817,4229,4229,1957,58,58,58,151,3/22/1996,Ph.D.,D+
2082,2332,2332,2082,27,93,93,189,4/28/1989,Bachelor,B+
281,2913,2913,4914,32,62,62,165,6/21/1993,Master,F-
826,1617,1617,1672,22,98,98,189,7/8/1990,Ph.D.,A-
4669,2037,2037,4249,20,67,67,188,6/4/1996,Master,F-
1297,1952,1952,1432,37,64,64,157,11/4/1997,Master,C-
2292,1722,1722,3048,51,79,79,176,6/4/1997,Bachelor,A-
821,96,96,3448,53,69,69,164,9/4/1993,Ph.D.,A-
1597,1046,1046,2928,37,97,97,185,9/5/1986,Doctorate,C+
2132,231,231,731,47,83,83,160,5/3/1994,Doctorate,D+
4829,381,381,2648,31,71,71,160,1/26/1988,Doctorate,D-
3543,211,211,4704,26,81,81,160,1/28/1996,Bachelor,D+
2923,2953,2953,2588,54,85,85,176,10/19/1985,Bachelor,B-
251,686,686,4049,55,83,83,158,11/15/1995,Ph.D.,B+
1937,4404,4404,2282,58,51,51,191,9/10/1988,Master,B-
2763,4604,4604,2232,24,88,88,154,11/5/1994,Bachelor,D-
3708,2362,2362,2973,34,72,72,155,3/9/1985,Master,A+
881,4309,4309,886,31,55,55,152,10/23/1992,Bachelor,A-
2112,1031,1031,4759,22,86,86,179,7/11/1989,Ph.D.,B-
1347,3178,3178,581,50,55,55,189,9/30/1992,Doctorate,D-
2958,2593,2593,876,36,78,78,183,6/27/1994,Bachelor,B-
2623,3789,3789,1707,56,53,53,151,1/19/1986,Master,F-
3834,1572,1572,2257,39,102,102,157,1/15/1996,Bachelor,B+
3824,3128,3128,1216,27,85,85,182,1/13/1993,Doctorate,C+
691,431,431,4724,23,72,72,159,1/14/1995,Ph.D.,F-
1972,1687,1687,3969,55,84,84,180,10/19/1986,Master,D+
3678,2227,2227,2192,59,92,92,151,4/12/1988,Doctorate,B-
2513,1377,1377,806,48,90,90,188,12/28/1987,Master,F+
696,411,411,4689,45,69,69,159,7/16/1987,Bachelor,D+
1096,4714,4714,2653,27,73,73,151,7/18/1988,Ph.D.,F-
1196,4704,4704,2272,45,109,109,181,12/16/1992,Ph.D.,F+
3283,1962,1962,4189,36,99,99,191,4/20/1988,Ph.D.,C-
4079,1041,1041,2568,30,83,83,193,9/21/1995,Bachelor,B-
4769,2853,2853,626,53,65,65,171,9/6/1985,Ph.D.,A+
1272,3533,3533,2147,47,65,65,154,9/20/1987,Ph.D.,B+
1857,4699,4699,2738,35,52,52,187,5/5/1994,Master,C+
626,3713,3713,4179,40,82,82,160,7/22/1995,Bachelor,F+
2918,3018,3018,2998,40,109,109,159,6/18/1988,Ph.D.,B+
2678,2462,2462,401,26,54,54,164,6/8/1995,Ph.D.,F-
1947,2067,2067,1477,58,107,107,194,1/18/1994,Ph.D.,C+
3688,3048,3048,1877,51,78,78,195,9/30/1994,Doctorate,F-
1482,241,241,936,44,101,101,196,1/25/1998,Doctorate,B+
3703,1161,1161,3899,31,83,83,153,9/24/1992,Doctorate,D+
1257,3723,3723,3118,29,66,66,167,6/17/1994,Doctorate,C-
1782,1877,1877,1762,58,81,81,177,4/21/1991,Master,B+
2337,2377,2377,1717,26,50,50,167,12/23/1990,Ph.D.,D+
3939,3728,3728,2472,45,96,96,156,9/11/1996,Master,C-
3588,2247,2247,4819,22,63,63,181,6/29/1991,Bachelor,F+
3663,946,946,201,40,80,80,168,12/21/1998,Master,A+
2943,986,986,3929,39,66,66,175,3/22/1997,Doctorate,D-
2467,1151,1151,4864,40,59,59,183,12/30/1994,Bachelor,F-
1186,1732,1732,1297,37,64,64,198,8/26/1996,Bachelor,D+
1006,4489,4489,111,37,97,97,157,6/4/1994,Bachelor,A+
306,2618,2618,3964,29,96,96,166,11/5/1993,Bachelor,A+
4549,4724,4724,3794,30,76,76,198,9/28/1995,Master,C+
386,3663,3663,3343,49,65,65,192,12/21/1987,Bachelor,F-
2838,3378,3378,4014,56,109,109,161,7/15/1992,Master,B+
301,1702,1702,3298,32,92,92,174,1/19/1992,Master,B+
266,2628,2628,4389,51,86,86,184,7/27/1998,Ph.D.,D-
1041,341,341,836,32,59,59,178,2/10/1993,Bachelor,C-
1221,2788,2788,3819,45,79,79,172,6/6/1987,Master,A-
3063,2132,2132,3718,50,80,80,162,9/12/1995,Ph.D.,C+
3498,2242,2242,326,49,64,64,186,9/9/1995,Bachelor,A-
4579,146,146,2583,21,89,89,191,9/9/1998,Doctorate,A-
206,1091,1091,1011,22,93,93,161,1/29/1997,Doctorate,D+
3743,3969,3969,1327,33,95,95,157,10/15/1993,Bachelor,C+
441,3804,3804,91,27,95,95,163,5/2/1987,Bachelor,C+
1427,461,461,3678,44,62,62,159,1/1/1990,Ph.D.,F+
4979,1116,1116,2407,31,100,100,150,1/10/1995,Bachelor,C+
811,1141,1141,601,29,51,51,196,11/28/1986,Doctorate,D-
3618,4934,4934,3138,40,107,107,159,4/24/1998,Doctorate,D-
3138,3088,3088,3223,41,59,59,187,5/16/1995,Bachelor,B-
4044,4529,4529,3864,36,89,89,185,12/7/1997,Doctorate,B+
3158,2172,2172,1382,29,97,97,189,6/11/1991,Doctorate,D-
671,1557,1557,4574,49,102,102,199,6/15/1989,Ph.D.,A+
4429,916,916,2623,37,104,104,191,8/2/1987,Doctorate,D-
3098,1216,1216,3293,29,96,96,195,5/20/1997,Ph.D.,C+
51,4374,4374,316,28,71,71,189,5/7/1990,Ph.D.,F+
906,896,896,3894,44,82,82,187,11/13/1996,Master,F+
2978,891,891,3553,34,79,79,162,5/17/1994,Ph.D.,D+
3388,2487,2487,3999,40,74,74,196,11/11/1990,Master,F-
3303,4929,4929,4984,45,98,98,166,5/5/1990,Ph.D.,B-
2157,2032,2032,2558,51,77,77,195,3/1/1987,Bachelor,D+
286,3508,3508,3423,34,81,81,196,4/18/1989,Master,A+
1457,1176,1176,4069,51,108,108,158,5/29/1990,Master,B+
4004,4809,4809,496,20,93,93,185,11/28/1987,Doctorate,C-
4679,1181,1181,3083,33,107,107,192,6/11/1985,Doctorate,D+
676,4204,4204,101,45,57,57,176,12/6/1985,Master,D+
2407,2828,2828,3393,58,82,82,185,5/2/1997,Master,A+
1567,801,801,2718,43,66,66,154,12/18/1993,Bachelor,B+
1036,4219,4219,3789,32,54,54,179,10/2/1994,Master,B+
2347,2518,2518,136,46,108,108,181,12/23/1993,Bachelor,A-
1357,4789,4789,1457,47,109,109,195,7/8/1994,Bachelor,C-
4479,476,476,4594,45,55,55,179,9/1/1997,Doctorate,D+
746,1972,1972,736,51,107,107,153,4/15/1993,Master,D-
1,351,351,4884,47,103,103,189,4/15/1991,Bachelor,D-
1412,1262,1262,1412,33,63,63,175,10/16/1993,Ph.D.,F-
4494,4889,4889,2888,24,91,91,173,6/25/1985,Bachelor,A-
1111,2748,2748,991,53,61,61,157,4/2/1992,Bachelor,B-
4544,2728,2728,71,34,90,90,169,4/12/1989,Bachelor,D+
1652,1292,1292,3338,57,64,64,168,3/25/1993,Bachelor,F-
4924,3263,3263,1236,57,100,100,188,4/13/1992,Bachelor,C-
3804,716,716,2467,48,67,67,157,9/2/1985,Ph.D.,C+
2202,1287,1287,2302,43,101,101,198,5/14/1997,Ph.D.,F+
4179,466,466,2743,56,105,105,154,2/7/1995,Bachelor,A-
916,901,901,526,36,107,107,153,1/15/1988,Doctorate,D+
2412,4584,4584,1211,40,53,53,190,6/14/1993,Ph.D.,A+
1216,236,236,231,22,73,73,166,1/11/1995,Master,D-
3608,1787,1787,3018,42,60,60,156,3/26/1994,Ph.D.,C-
4639,1427,1427,4524,20,65,65,160,11/25/1994,Ph.D.,A+
66,2663,2663,976,25,106,106,184,7/27/1986,Ph.D.,C-
1071,1457,1457,3353,43,81,81,170,12/4/1987,Doctorate,B-
1241,681,681,3183,55,61,61,159,2/4/1993,Doctorate,A-
4594,1472,1472,881,53,51,51,199,10/12/1988,Doctorate,D+
4989,4179,4179,2523,49,109,109,186,3/23/1994,Doctorate,D+
2523,3538,3538,981,24,54,54,153,12/1/1993,Ph.D.,B-
541,2322,2322,1547,30,78,78,192,6/7/1985,Bachelor,F+
751,3769,3769,656,21,82,82,177,3/3/1990,Bachelor,C+
2938,1887,1887,276,52,84,84,177,7/21/1994,Bachelor,F-
2878,601,601,3218,27,54,54,191,12/9/1992,Bachelor,F+
4064,1317,1317,4219,47,57,57,164,2/2/1990,Bachelor,D+
4574,861,861,4129,23,77,77,163,1/22/1997,Ph.D.,A-
1637,2412,2412,3208,46,72,72,160,1/13/1994,Master,D-
3829,391,391,1126,24,53,53,194,10/25/1996,Ph.D.,A-
1797,1417,1417,1757,40,59,59,163,10/25/1997,Ph.D.,C+
3814,4899,4899,4144,30,100,100,182,9/8/1993,Doctorate,B-
2222,4424,4424,4754,26,99,99,153,12/4/1997,Doctorate,B-
861,3548,3548,791,47,54,54,195,2/20/1994,Ph.D.,B-
1267,4574,4574,3563,24,79,79,177,10/3/1995,Bachelor,B-
451,4659,4659,751,33,107,107,177,1/30/1997,Bachelor,B-
1872,1987,1987,1497,36,102,102,158,8/16/1986,Bachelor,D-
866,2467,2467,4794,25,74,74,188,9/16/1998,Ph.D.,D-
681,2477,2477,4619,42,90,90,175,4/27/1989,Ph.D.,F+
166,1747,1747,2102,44,66,66,183,5/17/1998,Doctorate,D-
3113,2588,2588,576,47,97,97,162,10/1/1995,Ph.D.,C-
991,3053,3053,4029,27,61,61,186,5/7/1996,Master,B+
96,1772,1772,3123,56,73,73,174,6/27/1993,Doctorate,A-
351,2733,2733,2818,54,70,70,172,9/25/1993,Master,F+
3889,1872,1872,3323,47,106,106,198,10/28/1993,Doctorate,F-
686,1171,1171,2422,54,104,104,178,4/10/1990,Master,C+
871,4319,4319,3328,50,53,53,151,3/25/1985,Bachelor,F-
1642,4264,4264,776,57,72,72,157,1/20/1988,Bachelor,B+
3328,2888,2888,2462,21,66,66,157,5/16/1993,Master,D-
1862,4209,4209,381,48,93,93,185,1/20/1995,Ph.D.,A+
4654,2943,2943,4954,35,71,71,199,11/13/1995,Master,F-
2242,4719,4719,4399,46,69,69,159,8/25/1994,Ph.D.,B+
3503,3163,3163,3623,54,81,81,191,5/4/1996,Ph.D.,D+
291,1402,1402,3528,49,103,103,195,7/7/1989,Bachelor,A+
2257,2638,2638,1812,26,76,76,196,2/13/1995,Master,A-
116,976,976,66,58,76,76,172,12/28/1996,Bachelor,B+
156,3403,3403,1972,39,89,89,171,12/29/1995,Ph.D.,A-
391,4609,4609,4849,33,96,96,171,7/13/1993,Doctorate,B-
946,326,326,1652,24,56,56,158,12/25/1997,Doctorate,B-
3874,3358,3358,1272,47,69,69,164,10/20/1997,Doctorate,F+
3258,2758,2758,4544,50,75,75,196,6/3/1998,Master,D+
